SKU;Nombre;EAN;Precio por unidad;Precio internet;Marca
330354;Pasas Morenas  300 g;7804515005092;Precio x Kg : $6 533;1960;Lider
901521;Pistachos Salados  120 g;7804515004972;Precio x Kg : $23 250;2990;Lider
330456;Pasas Rubias  300 g;7804515005108;Precio x Kg : $9 900;3300;Lider
328494;Castaña De Cajú  120 g;7804068001831;Precio x Kg : $32.917;3950;Lider
644250;Ciruela Sin Carozos  200 g;3459329310005;Precio x Kg : $10 150;2030;Sofruco
945407;Coco Laminado  130 g;7808743605062;Precio x Kg : $13.077;1700;Lider
1074793;Tomate Deshidratado  150 g;7804515005887;Precio x Kg : $11 933;1990;Lider
901525;Avellana Europea  140 g;7804515004989;Precio x Kg : $27 785;3890;Lider
298919;Pepinillos Bolsa  200 g;7802351461201;Precio x Kg : $5 450;1290;Don Juan
329970;Banana Deshidratada  140 g;7804068001459;Precio x Kg : $14 642;2050;Lider
330766;Damasco Turco  140 g;7804068001541;Precio x Kg : $28.643;4010;Lider
906096;Pasa Corinto  300 g;7808743604805;Precio x Kg : $5 500;1650;Lider
945413;Semilla Maravilla  130 g;7804068003347;Precio x Kg : $8.385;1090;Lider
945415;Maíz Curagua  140 g;7804068003354;Precio x Kg : $5.643;790;Lider
901503;Mani Confitado  300 g;7804515005047;Precio x Kg : $4 300;2190;Lider
403422;Manzana Deshidratada  140 g;7804068002906;Precio x Kg : $15.643;2660;Lider
945417;Trigo Mote  400 g;7804068003361;Precio x Kg : $2 500;1410;Lider
949405;Piña Confitada  300 g;7804515005276;Precio x Kg : $8.633;2590;Lider
323568;Avellanas  150 g;340144674000;Precio x Kg : $40 133;6020;Avellanas
1270959;Ensalada Mixta  600 gr;3475334480007;Precio x Kg : $1 666;1290;Proverde
329328;Zanahoria Baby  454 gr;71430000250;Precio x Kg : $10 770;4890;Zanahoria
329522;Ensalada Toscana  300 gr;7804097011016;Precio x Kg : $5 966;1790;Ensalada
957925;Ensalada Toscana  300 g;7804640800555;Precio x Kg : $4 966;1490;Your Fresh Market
329628;Ensalada Toscana  600 gr;7809530600635;Precio x Kg : $4 583;2750;Ensalada
328334;Salad Mix  150 gr;7804636170105;Precio x Kg : $12 333;1850;Ensalada
