Nombre$SKU$Marca$Precio
5414$Chocolate tuerca Mecano 27 g relleno con manjar$Costa$469
5405$Caja de bombones praliness 200 g$Mauxion$2999
5386$Calugas Suny clásicas 400 g$Calaf$2149
5445$Chocolate Prestigio 35g$Prestigio$600
1848$Chocolate relleno Orly Ambrosoli 120 g . trufa$Orly$1079
7772$Chocolate de Leche Trencito Aireado Dúo 105g$Trencito$1759
2028$Bombón Bon o Bon 270 g$Arcor$2699
7779$Chocolate Sahne Nuss Libre de azúcar Barra 100g$Sahne Nuss$2939
1843$Turrón de maní en barra 280 g$Arcor$0
714$Calugas Suny clásicas 200 g$Calaf$1439
5382$Chocolate sin azúcar de leche 100 g$Valor$2699
704$Gomitas Amberries 100 g$Ambrosoli$849
5421$Porotitos de caramelo Merello 90 g$Merello$559
5411$Caramelos Old England Toffe 130 g$Ambrosoli$929
5102$Gomitas Mogul Ositos Extreme 90 g$Arcor$719
12199$Chocolate de Leche Trencito Barra 80g$Trencito$990
5364$Miniturrón 300 g$Ambrosoli$1489
5436$Marshmallows Morf Trenz 220 g$Arcor$1399
7323$Chocolate Peanut 53 g$Snickers$950
4944$Gomitas Fini gusanos ácidos . 90 g$Fini$1029
4877$Gomitas Frugelé XL 360 g$Ambrosoli$2099
8508$Mazapán bolsitas en forma de papas 100 g$Zentis$1399
8418$Caramelos Old England Toffe bañados en chocolate 300 g$Ambrosoli$2569
8426$Marshmallows 120 g$Ambrosoli$860
5425$Chocolate amargo 82% cacao 100 g$Valor$2299
11105$Torta de Turrón con Almendras Memorable 150 g$Memorable$3599
5438$Marshmallow Morf XL 350 g$Dos en Uno$1599
5434$Tabletas Bon o Bon leche 125 g$Arcor$1279
670$Bon o Bon chocolate blanco 450 g$Arcor$4489
5465$Chocolate Super 8 balls 120g$Super 8$1439
4945$Caramelo Fini regalíz frutilla ácido . 80 g$Fini$1029
4970$Chicle sandía 11 g$Big Time$390
8447$Chocolate amargo con avellanas 100 g$Schogetten$1599
5404$Chocolate Milk 156 g$M&M's$2359
5380$Chocolate Mini 124.7 g$Snickers$1799
4335$Guagüitas bolsa 250 g$Merello$1599
1847$Chocolate Orly frutilla 120 g$Ambrosoli$1079
5385$Kegol 153 g$Arcor$1079
701$Mazapán cubierto de chocolate 100 g$Zentis$1399
7330$Caramelo Original 62 g$Skittles$950
2844$Marshmallow regular 283 g$Cuisine & Co$1489
9326$Chocolate En Línea 85% cacao 50 g$En Línea$2029
5368$Chocolate Golden peanuts 145 g$Ambrosoli$1099
5388$Masticables surtido bolsa 400 g$Dos en Uno$2399
5457$Barra de chocolate cookies and cream 87 g$Hershey's$1035
5244$Gomitas sandía 100 g$Ambrosoli$849
8409$Caramelos fresa Pin Pop 408 g$Ambrosoli$1659
11099$Marshmallows Morf Trenz 120 g$Dos en Uno$749
8424$Guagüitas 300 g$Ambrosoli$1769
7327$Chocolates Milk 47.9 g$M&M's$950
12335$Gomitas Mogul Califrut 90 g$Arcor$719
5446$Chocolate de Leche Trencito 24g$Nestlé$429
2396$Chocolate maní 100 g$Muibon$729
8434$Pack 6 un. Chocolate Milky Way 95 g$Snickers$1569
13089$Barra sabor chocolate amargo 90 g$Voyage$999
4744$Chicle menta 5 un. 11 g c/u$Big Time$1489
9403$Caramelos Cavendish Fruta Sin Azúcar 175 g$Cavendish$1999
10944$Chokita Balls 120 g$Chokita$1439
674$Chocolate con almendras 160 g$Carezza$2129
8428$Chocolate Excellence Leche 80 g$Costa$1869
8507$Mazapán Baustamm con nougat y cubierto de chocolate 100 g$Zentis$1399
8430$Pack 6 un. Chocolate Fun Size 96 g$Snickers$1599
5383$Caramelos Old England Toffee surtidos 450 g$Ambrosoli$2389
1844$Caramelos Toffe Mint 405 g$Ambrosoli$2389
12333$Barra mazapán belmanda 40 g$Zentis$999
5466$Chocolate Morocha Balls 120g$Morocha$1439
1851$Chocolate Costamilk 145 g$Costa$1889
12918$Bombón crocante 195 g$Costa$2679
5418$Tabletas Rocklets 140 g$Arcor$1399
7773$Chocolate bitter Nestlé Dark 65% Cacao Naranja 100g$Nestlé$2019
5433$Tableta Bon o Bon Blanco 125 g$Arcor$1279
11201$Bombones chocolate menta 200 g$Berggold$1499
7771$Chocolate bitter Nestlé Dark 65% Cacao 100g$Nestlé$2019
12336$Gomitas Mogul Extreme 90 g$Arcor$719
5468$Chocolate cacao 62 % almendra 80 g$Costa$1869
5410$Caramelos butter leche 130 g$Arcor$919
5370$Bombones chocolate pera 250 g$Berggold$1499
9328$Gomitas Fini gusano dulce . 90 g$Fini$1029
7777$Chocolate Trencito Colores 125g$Trencito$1759
5379$Chocolate trilogía 100 g$Schogetten$1599
9408$Chocolate amargo naranja 70% cacao 100 g$Valor$2299
8423$Chicle sandía 80 g$Fini$1029
5020$Caluga con sabor a caramelo 300 g$Majami$1399
9406$Caramelos Cavendish tropical sin azúcar 175 g$Cavendish$1999
5435$Marshmallow Morf tradicional 220 g$Morf$1399
9409$Chocolate amargo con menta 70% cacao 100 g$Valor$2299
12334$Barra mazapán zentis 40 g$Zentis$999
715$Caramelos guinda lata 200 g$Cavendish & Harvey$1599
12917$Estuche rolls nuts 210 g$Costa$2679
8441$Estuche vizzio 182 g$Costa$2679
4946$Caramelo Fini regalíz frutilla dulce . 80 g$Fini$1029
5376$Chocolate Peanut 156 g$M&M's$2359
4749$Gomitas Merello 250 g . italina$Merello$1569
5448$Caramelos sabor naranja 16 g$Tic Tac$690
5444$Bombón Belgian Harvest 195 g$Belgian$3669
7326$Chocolates Peanut 49 g$M&M's$950
13086$Barra sabor chocolate relleno menta 100 g$Voyage$999
9127$Chocolate amargo 70% cacao 100 g$Valor$2299
8443$Bombón relleno con trozos de galleta 190 g$Oreo$2659
8437$Lenguas de gato 120 g$Costa$2989
13083$Barra sabor chocolate relleno caramelo 100 g$Voyage$999
11110$Caramelos limón sour 200 g$Cavendish & Harvey$1599
698$Chocolate amargo 100 g$Schogetten$1599
5424$Pack 2 un. Chocolate Minis 62 g$M&M's$1879
13093$Barra sabor chocolate relleno coco 100 g$Voyage$999
13088$Barra sabor chocolate leche 90 g$Voyage$999
5455$Tabletas de chocolate Nikolo 100 g$Arcor$989
5389$Almendras confitadas bolsa 250 g$Merello$2449
5407$Caramelos frutales 200 g$Cavendish & Harvey$1599
5412$Masticables 600 g$Ambrosoli$3079
4740$Gomitas Krem 350 g$Ambrosoli$2099
5275$Chicle strong 11 g$Bigtime$390
12332$Barra mazapán zentis 40 g$Zentis$999
711$Masticables sabores frutales 800 g$Arcor$4579
7520$Bombones coco & cream 130 g$Muibon$2339
5378$Chocolate praliné con nuez 100 g$Schogetten$1599
5460$Gomitas Loop 25 g$Ambrosoli$299
5021$Caluga con sabor a caramelo chocolate 300 g$Majami$1399
5409$Chupetes Pin Pon 24 g XL sabor frutos rojos$Ambrosoli$2409
11203$Bombón sea shell regalo 125 g$Guylian$6599
9098$Bombones caja 24 un. 300 g$Ferrero Rocher$15669
8417$Masticables tubitos 400 g$Ambrosoli$2749
5441$Chocolate Golden Milk 120 g$Ambrosoli$1289
7774$Chocolate Trencito Galletas 120g$Trencito$1829
10016$Marshmallows blancos 230 g$Ambrosoli$1279
7778$Bombones de chocolate Trencito rellenos 142g$Trencito$2989
11109$Caramelos manzana 200 g$Cavendish & Harvey$1599
13106$Chocolate relleno con crema de caramelo 100 g$Milka$1549
8421$Caramelos light Flopi 40 g . cereza$Flopi$1619
5375$Chocolate Costanuss 250 g$Costa$3339
5373$Chocolate blanco 80 g$Costa$1919
10741$Gomitas Mogul caligrut 400 g$Arcor$1949
5449$Chocolate con coco 175 g$Chocofun$2199
5431$Chocolate Chubi tableta 138 g$Arcor$1339
8444$Chocolate de leche 200 g$Toblerone$3899
13087$Barra sabor chocolate con mani 90 g$Voyage$999
7325$Chocolate Sahne Nuss Barra 30X30g$Sahne Nuss$690
2397$Chocolate cookies & cream 145 g$Muibon$1979
8431$Chocolate Fun Size 300 g$Snickers$4519
5387$Caramelos sabores frutales 966 g$Cavendish & Harvey$6299
8433$Chocolate con maní y caramelo 216 g$Chocofun$2199
12460$Classic Cream Candies libre de azúcar 70 g$Werther´s$1839
5450$Chocolate balls Rocklets . 150 g$Rocklets$1499
2405$Bombones Carezza 210 g$Costa$4449
11108$Chocolate de leche sin lactosa 100 g$Valor$2699
8439$Bombones Carezza doble twist 158 g$Costa$3490
679$Chocolate Costanuss 160 g$Costa$2029
9379$Chocolate con almendras Carezza 120 g$Costa$999
8420$Caramelos light Flopi 40 g . tutifruti$Flopi$1619
9208$Chocolate relleno con Oreo y crema XL 300 g$Milka$4149
7521$Chocolate burbumilk 100 g$Muibon$1099
2481$Chocolate flow leche 48 g$Muibon$720
10087$Marshmallow sandía 230 g$Ambrosoli$1279
9099$Chocolate caja lindor leche 200 g$Lindt$7289
10015$Marshmallows trenzas 230 g$Ambrosoli$1279
12263$Tableta de chocolate Smarties 90 g$Baton$1499
9405$Chocolate sin azúcar de leche con almendras 150 g$Valor$4699
10019$Marshmallow malva 250 g$Ambrosoli$1509
12264$TABLETA CHOCOLATE BATON COOKIES 90 GR$Baton$1499
5447$Caramelos menta 16 g$Tic Tac$590
11106$Turrón blando 150 g$Memorable$3599
1840$Chocolate After Eight 200g$After Eight$5299
14058$Caramelos Goyak 480 g$Ambrosoli$1749
14053$Chocolate Barra 110 g CostaNuss Almendras Libre de azúcar$Costa$1869
14054$Chocolate Costa 120 g$Bambino$1299
667$Chocolate Golden Nuss 140 g$Ambrosoli$1499
7502$Chocolate Crunch 120 g$Muibon$1309
11868$Chocolate de leche tiny 200 g$Toblerone$3899
10021$Caramelos masticables Frutal Duo 400 g$Ambrosoli$2029
9411$Chocolate orgánico 72% cacao 50 g$Pacari$2799
5469$Oblea bañada 29 g$Nestlé$290
8413$Chupete Bon Bon Bun fresa 228 g$Colombina$959
9412$Chocolate orgánico 50 g$Pacari$3599
703$Caramelos Arbolito 430 g surtido$Ambrosoli$2439
8411$Chupete Bon Bon Bun surtido 228 g$Colombina$959
5453$Chocolate con maní 40 g$Muibon$450
5502$Pack 30 un. Chocolate Sahne Nuss en barra 30 g$Nestlé$0
5280$Pack chicle sandía 20 un. 11 g c/u$Bigtime$0
5356$Chicle ultra clean mint 24 g 12 un.$Arcor$0
5481$Pack gomitas loop 20 un. 25 g c/u$Ambrosoli$0
5475$Pack 12 un. Caramelos naranja 16 g$Tic Tac$0
5474$Pack 36 un. Caramelo fruta 62 g$M&M's$0
5413$Chocolate Golazo 10 un.$Ambrosoli$1579
5278$Pack chicle strong 20 un. 11 g c/u$Bigtime$0
11227$Chicle menta fuerte 11 g c/u 5 un.$Big Time$1489
5505$Pack 12 un. Chocolate flow nougat 12 48 g$Muibon$0
8415$Caramelos frutales 430 g$Ambrosoli$2099
5454$Chocolate con leche 30 g$Muibon$450
12081$Caramelos Pico Dulce 672 g$Lheritier$4990
11223$Tableta chocolate sapito 100 g$Arcor$1229
11222$Tabletas de chocolate con maní­ Rocklets 140 g$Arcor$1399
5489$Pack 12 un. Chocolate con maní 40 g$Muibon$0
5485$Pack 16 un. Chocolate con leche 30 g$Muibon$0
5279$Pack 12un. Caramelos de menta 16 g$Ferrero$0
10024$Gomela mundo marino 84 g$Colombina$559
10943$Galleta Chokita 10 un. 300 g$Chokita$0
775$Galletas Triton Vainilla Multipack 3 unidades 126g$Mckay$1699
761$Galletas Mckay Criollitas 100g$Mckay$1079
2953$Oblea Super 8 bolsa 232 g$Nestlé$2149
767$Galletas Triton Vainilla 126g$Mckay$619
2737$Galleta mini donuts 40 g$Costa$259
742$Galletas Nik bocado 71 g$Costa$405
765$Galleta chip Kuky Clásica 120g$Mckay$759
4745$Galletas Mini Dinosaurios 35 g$Arcor$190
767$Galletas Triton Vainilla 126g$Mckay$619
737$Galletas Vino 160 g$Costa$689
10151$Galletas de chocolate crema vainilla 154 g$Oreo$670
9381$Galletas mini Nik 30 g$Costa$269
771$Galletas Mckay Mini Limón 40g$Mckay$219
4748$Galletas Chockiss 35 g$Arcor$190
491$Galletas saladas original 234 g$Club Social$1349
749$Galletas Frac chocolate 130 g$Costa$569
740$Galletas Tuareg 120 g$Costa$489
772$Galletas Mckay Mini Mantequilla 40g$Mckay$219
744$Galletas Nik frutilla 71 g$Costa$405
764$Galletas Triton Chocolate 126g$Mckay$619
773$Galleta bañada Morocha 50g$Mckay$339
4378$Galletón avena y chips de chocolate 40 g$Quaker$349
775$Galletas Triton Vainilla Multipack 3 unidades 126g$Mckay$1699
4376$Pack 6 un. Galletas Original 36 g c/u$Oreo$1499
761$Galletas Mckay Criollitas 100g$Mckay$1079
5392$Galletas de arroz Mizos chocolate 20 g$Mizos$419
753$Galletas mini Palmeritas 40 g$Costa$199
752$Galletas Limón 140 g$Costa$689
4357$Galletas mini Vino 40 g$Costa$199
5365$Galletas mini Selz 35 g$Arcor$190
736$Galletas Mantequilla 140 g$Costa$689
5423$Galletas de arroz Mizos 25 g . chocolate y naranja$Mizos$519
776$Galletas Mckay Vino 155g$Mckay$639
722$Galletas Soda 180 g$Costa$855
748$Galletas Frac clásica 130 g$Costa$569
733$Galletas Chocochips con trozos de chocolate 125 g$Costa$689
746$Galletas Obsesión 85 g$Costa$899
766$Galletas Triton Naranja 126g$Mckay$619
469$Compota Vivo 90 g . Mifrut . Manzana$Vivo$489
757$Galletas duo chocolate 500 g$Griesson Duo$2199
743$Galletas Nik limón 71 g$Costa$405
731$Galletas Din Don 115 g$Costa$489
9377$Galleta Nik 160 g$Costa$1329
2953$Oblea Super 8 bolsa 232 g$Nestlé$2149
5005$Galletas Cookies and Cream 126 g$Oreo$670
769$Galletas Mckay Maravilla 147g$Mckay$639
747$Galletas Frac frutilla chocolate 130 g$Costa$569
726$Galletas Mckay Soda Clásica 180g$Mckay$919
739$Galletas Donuts leche 100 g$Costa$899
4373$Galleta chip Kuky Chocolate 120g$Mckay$759
497$Galletas de salvado tripack 585 g$Vivo$2049
4377$Galletón avena y arándanos rojos 40 g$Quaker$349
492$Galletas tripack Crackelet 255 g$Costa$1169
768$Galletas Mckay Niza 150g$Mckay$639
762$Galletas Mckay Limón 150g$Mckay$639
750$Galletas Frac vainilla 130 g$Costa$569
4739$Galletas mini 39 g$Toddy$329
472$Pack 5 un. Compota Mifrut mix de frutas 90 g c/u$Vivo$2399
759$Galletas Bocaditos 300 g$Dos en Uno$0
4362$Galletas mini Dos en Uno limón 35 g$Dos en Uno$190
763$Galletas Nestlé Mckay Coco 120g$Mckay$629
778$Galleta Oblea Alteza Frutilla 140g$Mckay$1119
1855$Galletas Mckay Mantequilla 140g$Mckay$639
723$Galletas Soda Line 180 g$Costa$855
7$Bizcocho Chocman 8 un. 33 g c/u$Costa$1919
741$Galletas Tuareg mango piña 120 g$Costa$489
11402$Galletas Triton Doble Crema 147g$Mckay$719
8497$Galletas Grill Clásica 35g$Mckay$365
4352$Galletas Frac cappuccino bicolor 130 g$Costa$569
721$Galletas de Agua Line 210 g$Costa$879
9257$Galletas Triton Limón white Multipack 3x126g$Mckay$1000
9345$Galletas de arroz Mizos manzana 16 g$Mizos$419
4353$Galletas Gretel rellenas con chocolate 85 g$Costa$959
728$Pack galletas vainilla 3 un. 131 g c/u$Arcor$1749
735$Galletas de coco 125 g$Costa$689
4951$Pack 6 un. Galletas chocolate 36 g c/u$Oreo$1499
471$Compota Vivo 90 g . Mifrut . Pera$Vivo$489
5177$Bizcocho Chocman 33 g$Costa$209
4347$Galletas Donuts Orange bitter 100 g$Costa$899
751$Galletas Gran Cereal fibra de cacao 135 g$Costa$829
734$Galletas de chocolate 140 g$Costa$689
738$Galletas Donuts chocolate blanco 100 g$Costa$899
4366$Galletas Vino 160 g$Dos en Uno$599
4380$Galletas Rigochoc bañadas en chocolate 9 unid. 113 g$Rigochoc Arcor$919
7782$Galleta Grill Clásica 140g$Mckay$1129
727$Galleta Agua Light Selz Pack 3 unid . 600 g c/u . Bajo en sodio$Selz$2199
9346$Galletas de arroz Mizos 25 g . yoghurt y limón$Mizos$519
4416$Barquillo para Helado Dulcono Roma 10 unid . 30 g$Dulcono Roma$699
468$Compota Vivo 90 g . Mifrut . Durazno$Vivo$489
2621$Galletas Triton Limón - White 126g$Mckay$619
5367$Galletas Selz Cracker 107 g . Sabor Orégano$Selz$430
8496$Galletas de champagne 200 g$Gullón$1399
4354$Galletas Gretel rellenas con frutilla 85 g$Costa$959
4359$Galletas oblea mini Cua Cua cubierta de chocolate con vainilla 42 g$Cua Cua$479
724$Galletas Mckay Agua 205g$Mckay$889
12312$Galletas chocolate crema chocolate 126 g$Oreo$719
10022$Galletas de Soda Vivo 123 g$Vivo$879
758$Galletas duo vainilla 500 g$Griesson Duo$2199
5397$Galletas de chocolate sin azúcar Diet Nature 180 g$Gullón$2559
2868$Galletas Triton Maní - White 126g$Mckay$619
2657$Galletas chispas 142.5 g$Toddy$889
4337$Galletas Soda Selz 180 g . Bajo en sodio$Selz$859
2677$Compota Vivo Fruta Manzana Pera Espinaca 120 GR$Vivo$729
718$Galletas salvado tripack 642 g$Bagley$1919
4350$Galletas Gretel rellenas chocolate blanco 85 g$Costa$959
5131$Galleta dos en uno chocolate 393 g$Arcor$1749
12915$Galletas Frac Naranja 130 g$Costa$569
11197$Galletas saladas mantequilla 234 g$Club Social$1349
754$Galletas surtido café ole 500 g$Heidekeks$2999
5428$Galletas de arroz Kupiec natural 90 g$Kupiec$1589
4737$Galletas choco rolls 125 g$Gustino$1899
4338$Galletas de Agua Vivo 140 g$Vivo$879
720$Galletas de Agua 210 g$Costa$879
8501$Galletas de arroz dulces 150 g$Tucapel$1259
783$Galletas de champaña 200 g$Vicenzi Champagne$1399
12916$Galletas Suny 120 g$Costa$549
4363$Galletas coco 135 g$Dos en Uno$599
8499$Galletas de arroz clásicas 150 g$Tucapel$1259
781$Galleta Oblea Alteza Helado 140g$Mckay$1119
8493$Galletas almendras Nutra Bien sin azúcar 128 g$Nutra Bien$1669
725$Galletas Mckay Soda Light 180g$Mckay$0
9256$Galletas Triton Mini Limón white 40g$Mckay$339
7780$Galletas Mckay Criollitas 150g$Mckay$1000
774$Galleta chip Kuky ChipChipers 190g$Mckay$1239
4752$Barquillo para helado Dulcono Roma caja 40 g . 10 unid . en vaso$Dulcono Roma$999
8408$Pack bizcocho Chocman black 264 g$Costa$1919
8486$Barquillo sabor Vainilla Sin Azúcar 180 g$Gullón$2569
779$Galleta Oblea Alteza Bocado 140g$Mckay$1119
8479$Galletas choco rolls con chocolate amargo 125 g$Gustino$1899
10084$Galletas Champañitas 160 g$Costa$1000
8489$Galletas Gullón sándwich de chocolate sin azúcar Diet Nature 250 g$Gullón$2579
5239$Galleta bañada Morocha Tremenda 95g$Mckay$999
5391$Galletas light Chuño Izkol 125 g$Izkol$1339
717$Galletas Selz Salvado Light Trip 642 g$Arcor$2039
4360$Galletas Choc Kiss 135 g$Dos en Uno$619
8494$Galletas chips de chocolate Nutra Bien sin azúcar 128 g$Nutra Bien$1669
732$Galletas Champaña 140 g$Costa$1569
8487$Galleta Ecovida jengibre sin azúcar 150 g$Ecovida$1399
836$Barquillo para helado 18 un.$Trendy$1703
2835$Barquillos para helados 18 un.$Cuisine & Co$1879
4364$Galletas limón 135 g$Dos en Uno$599
8483$Galleta Ecovida quinoa light 150 g$Ecovida$1399
4339$Galletas de avena avellana 115 g$Arcor$650
7783$Galletas Mckay Criollitas Chocolate 100g$Mckay$1059
5399$Pack galletas de salvado y linaza 3 un. 519 g$Selz$1999
756$Galletas Gran Prix 500 g$Heidekeks$2599
4340$Galletas de avena almendras 115 g$Arcor$650
5420$Pack galletas de salvado y chía 3 un. 519 g$Selz$1999
8484$Galletas Twins sándwich cacao con crema 210 g$Gullón$2399
1723$Compota Vivo 120 g . Mifrut . frambuesa/cranberry$Vivo$729
4370$Galletas Scones bizcocho 250 g$Selz$1749
8464$Galletas Chuño Izkol 125 g$Izkol$1339
5419$Galletas Selz cracker merkén 107 g$Arcor$430
780$Galleta Oblea Alteza Chirimoya 140g$Mckay$1119
7785$Galletas Mckay Criollitas Limón 100g$Mckay$1059
8498$Galletas de arroz Kupiec sésamo 90 g$Kupiec$1589
4937$Galletas fresa 192 g$Colombina$989
5422$Galleta Ecovida s/gluten chocochips 150 g$Ecovida$2299
719$Galletas de arroz libre de gluten 160 g$Cerealitas$2639
4372$Galletas Balena 125 g$Lambertz$1999
4365$Galletas mantequilla 135 g$Dos en Uno$599
8502$Tortitas de arroz integral con chocolate 130 g$Bicentury$2899
4336$Galletas Mckay Agua sin sal 180g$Mckay$1019
4947$Galletas Block sabor chocolate 101 g$Toddy$509
4853$Galletas Rocklets vainilla 165 g$Rocklets$1119
11659$Galleta Triton  Mini Vainilla 200g$Mckay$1000
7929$Galletas coco 375 g$Santiago$1299
5398$Galletas Gullón Diet Nature 170 g$Gullón$1979
1724$Compota Vivo 120 g . Mifrut . mango/maracuyá$Vivo$729
8466$Galletas Ecovida sin gluten berries 150 gr$Ecovida$2299
8495$Galletas Ecovida dietmcon sucralosa 120 g$Ecovida$979
10148$Galletas de chocolate rellenas 354 g$Oreo$2039
8482$Galletas Waffle 200 g$Heidekeks$1499
8467$Galletas Dos en Uno chocolate 140 g$Dos en Uno$599
8474$Galletón Ecovida avena berries 2 unid.$Ecovida$1099
4936$Galletas vainilla 192 g$Colombina$989
9352$Alfajores frambuesa 5 un.$Nutrisa$2390
8470$Galletas Santiago coco 800 g$Santiago$2350
8458$Galletas vainilla 375 g$Santiago$1299
4854$Galletas Rocklets chocolate 165 g$Rocklets$1119
8457$Galletas limón 375 g$Santiago$1299
4368$Galletas Grisbi rellenas crema de avellana 150 g$Vicenzi$2199
8469$Galletas Ecovida coco sin gluten 150 g$Ecovida$2299
8475$Galletas Ecovida avena y manzana 2 unid.$Ecovida$1099
12939$Tortitas de arroz integral sin sal 130 g$Bicentury$2199
8459$Galleta Museo Sabor Frutilla 30g$Mckay$449
7784$Galleta Grill Cocktail Queso Cabra 120g$Mckay$1439
12454$Galletón Ecovida quínoa chocolate 2 unid.$Ecovida$1099
8465$Galleta Ecovida chips  s/gluten 150 g$Ecovida$2299
5390$Galletas de arroz con chocolate 167 g$Cereal Mix$2419
9362$Galletas vegan rice crackers hierbas 100 g$Tika$1319
11224$Galletas choco chips costa 280 gr$Costa$1019
8503$Tortitas de arroz orgánicas sin gluten 100 g$Santiveri$2699
7921$Galletas sabor canela 750 g$Danesita$2699
5363$Galleta Mini sabor Jamón Selz 35 g$Selz$190
5393$Emparedado de maní Ecovida 150 g$Ecovida$1599
12941$Tortitas de arroz integral 130 g$Bicentury$2199
8492$Galletas Ecovida ciruela s/azúcar 150 g$Ecovida$1599
5119$Galletas Block sabor vainilla 101 g$Toddy$509
4371$Galletas Divina 113 g$Lambertz$1999
8455$Galleta block mix 110 g$Toddy$509
9361$Galletas vegan rice crackers amapola 100 g$Tika$1319
4384$Galletas Voglie surtido 300 g$Vicenzi$3599
9422$Galletas de champaña sin gluten 125 g$Vicenzi$3599
8481$Barquillo tradicional 155 g$Pirulin$4288
7781$Galleta Grill Cocktail Indian Curry 120g$Mckay$1439
8407$Cuchuflís chocolate negro 27 un.$Vivianne$3999
